Disease,variable,Symptom
Fungal infection,Symptom_1,itching
Fungal infection,Symptom_1,skin_rash
Fungal infection,Symptom_1,itching
Fungal infection,Symptom_1,itching
Fungal infection,Symptom_1,itching
Fungal infection,Symptom_1,skin_rash
Fungal infection,Symptom_1,itching
Fungal infection,Symptom_1,itching
Fungal infection,Symptom_1,itching
Fungal infection,Symptom_1,itching
Allergy,Symptom_1,continuous_sneezing
Allergy,Symptom_1,shivering
Allergy,Symptom_1,continuous_sneezing
Allergy,Symptom_1,continuous_sneezing
Allergy,Symptom_1,continuous_sneezing
Allergy,Symptom_1,shivering
Allergy,Symptom_1,continuous_sneezing
Allergy,Symptom_1,continuous_sneezing
Allergy,Symptom_1,continuous_sneezing
Allergy,Symptom_1,continuous_sneezing
GERD,Symptom_1,stomach_pain
GERD,Symptom_1,stomach_pain
GERD,Symptom_1,stomach_pain
GERD,Symptom_1,stomach_pain
GERD,Symptom_1,stomach_pain
GERD,Symptom_1,stomach_pain
GERD,Symptom_1,acidity
GERD,Symptom_1,stomach_pain
GERD,Symptom_1,stomach_pain
GERD,Symptom_1,stomach_pain
Chronic cholestasis,Symptom_1,itching
Chronic cholestasis,Symptom_1,vomiting
Chronic cholestasis,Symptom_1,itching
Chronic cholestasis,Symptom_1,itching
Chronic cholestasis,Symptom_1,itching
Chronic cholestasis,Symptom_1,itching
Chronic cholestasis,Symptom_1,itching
Chronic cholestasis,Symptom_1,itching
Chronic cholestasis,Symptom_1,itching
Chronic cholestasis,Symptom_1,itching
Drug Reaction,Symptom_1,itching
Drug Reaction,Symptom_1,itching
Drug Reaction,Symptom_1,itching
Drug Reaction,Symptom_1,itching
Drug Reaction,Symptom_1,itching
Drug Reaction,Symptom_1,skin_rash
Drug Reaction,Symptom_1,itching
Drug Reaction,Symptom_1,itching
Drug Reaction,Symptom_1,itching
Drug Reaction,Symptom_1,itching
Peptic ulcer diseae,Symptom_1,vomiting
Peptic ulcer diseae,Symptom_1,vomiting
Peptic ulcer diseae,Symptom_1,indigestion
Peptic ulcer diseae,Symptom_1,vomiting
Peptic ulcer diseae,Symptom_1,vomiting
Peptic ulcer diseae,Symptom_1,vomiting
Peptic ulcer diseae,Symptom_1,vomiting
Peptic ulcer diseae,Symptom_1,vomiting
Peptic ulcer diseae,Symptom_1,vomiting
Peptic ulcer diseae,Symptom_1,vomiting
AIDS,Symptom_1,muscle_wasting
AIDS,Symptom_1,patches_in_throat
AIDS,Symptom_1,muscle_wasting
AIDS,Symptom_1,muscle_wasting
AIDS,Symptom_1,muscle_wasting
AIDS,Symptom_1,muscle_wasting
AIDS,Symptom_1,muscle_wasting
AIDS,Symptom_1,patches_in_throat
AIDS,Symptom_1,muscle_wasting
AIDS,Symptom_1,muscle_wasting
Diabetes,Symptom_1,fatigue
Diabetes,Symptom_1,fatigue
Diabetes,Symptom_1,weight_loss
Diabetes,Symptom_1,fatigue
Diabetes,Symptom_1,fatigue
Diabetes,Symptom_1,fatigue
Diabetes,Symptom_1,fatigue
Diabetes,Symptom_1,fatigue
Diabetes,Symptom_1,fatigue
Diabetes,Symptom_1,fatigue
Gastroenteritis,Symptom_1,vomiting
Gastroenteritis,Symptom_1,vomiting
Gastroenteritis,Symptom_1,sunken_eyes
Gastroenteritis,Symptom_1,vomiting
Gastroenteritis,Symptom_1,vomiting
Gastroenteritis,Symptom_1,vomiting
Gastroenteritis,Symptom_1,vomiting
Gastroenteritis,Symptom_1,sunken_eyes
Gastroenteritis,Symptom_1,vomiting
Gastroenteritis,Symptom_1,vomiting
Bronchial Asthma,Symptom_1,fatigue
Bronchial Asthma,Symptom_1,cough
Bronchial Asthma,Symptom_1,fatigue
Bronchial Asthma,Symptom_1,fatigue
Bronchial Asthma,Symptom_1,fatigue
Bronchial Asthma,Symptom_1,fatigue
Bronchial Asthma,Symptom_1,fatigue
Bronchial Asthma,Symptom_1,fatigue
Bronchial Asthma,Symptom_1,cough
Bronchial Asthma,Symptom_1,fatigue
Hypertension,Symptom_1,headache
Hypertension,Symptom_1,chest_pain
Hypertension,Symptom_1,headache
Hypertension,Symptom_1,headache
Hypertension,Symptom_1,headache
Hypertension,Symptom_1,headache
Hypertension,Symptom_1,headache
Hypertension,Symptom_1,chest_pain
Hypertension,Symptom_1,headache
Hypertension,Symptom_1,headache
Migraine,Symptom_1,acidity
Migraine,Symptom_1,indigestion
Migraine,Symptom_1,acidity
Migraine,Symptom_1,acidity
Migraine,Symptom_1,acidity
Migraine,Symptom_1,acidity
Migraine,Symptom_1,acidity
Migraine,Symptom_1,acidity
Migraine,Symptom_1,acidity
Migraine,Symptom_1,acidity
Cervical spondylosis,Symptom_1,back_pain
Cervical spondylosis,Symptom_1,back_pain
Cervical spondylosis,Symptom_1,weakness_in_limbs
Cervical spondylosis,Symptom_1,back_pain
Cervical spondylosis,Symptom_1,back_pain
Cervical spondylosis,Symptom_1,back_pain
Cervical spondylosis,Symptom_1,back_pain
Cervical spondylosis,Symptom_1,back_pain
Cervical spondylosis,Symptom_1,weakness_in_limbs
Cervical spondylosis,Symptom_1,back_pain
Paralysis (brain hemorrhage),Symptom_1,vomiting
Paralysis (brain hemorrhage),Symptom_1,vomiting
Paralysis (brain hemorrhage),Symptom_1,headache
Paralysis (brain hemorrhage),Symptom_1,vomiting
Paralysis (brain hemorrhage),Symptom_1,vomiting
Paralysis (brain hemorrhage),Symptom_1,vomiting
Paralysis (brain hemorrhage),Symptom_1,vomiting
Paralysis (brain hemorrhage),Symptom_1,headache
Paralysis (brain hemorrhage),Symptom_1,vomiting
Paralysis (brain hemorrhage),Symptom_1,vomiting
Jaundice,Symptom_1,itching
Jaundice,Symptom_1,itching
Jaundice,Symptom_1,vomiting
Jaundice,Symptom_1,itching
Jaundice,Symptom_1,itching
Jaundice,Symptom_1,itching
